role_family,contributing_sources,n_sources,total_distinct_skills_found,top_skills
AI Developer,stackoverflow_india,1,216,Python (53); MySQL (41); Amazon Web Services (AWS) (40); JavaScript (38); Pip (37); SQL (35); Torch/PyTorch (35); NumPy (35); Pandas (35); scikit-learn (34)
Backend Developer,stackoverflow_india,1,212,Amazon Web Services (AWS) (391); MySQL (384); PostgreSQL (351); Docker (343); JavaScript (342); SQL (342); Python (322); Java (284); MongoDB (260); npm (252)
Business Analyst,archive3;archive4;naukri_datacsv,3,995,Business Analysis (298); Data Analysis (103); Analytical (71); IT Skills (51); SQL (49); Project management (47); Data Management (43); Agile (39); Testing (31); Business intelligence (30)
Business Intelligence Analyst,archive3;archive4,2,106,Data Analysis (15); Business intelligence (10); Tableau (8); Power BI (8); Analytical (7); Python (7); Business Intelligence Analyst (6); SQL (5); Business Analysis (5); Data Science (4)
Cloud Infrastructure Engineer,stackoverflow_india,1,151,Python (20); JavaScript (19); Docker (18); Amazon Web Services (AWS) (16); Kubernetes (15); SQL (15); npm (14); HTML/CSS (14); PostgreSQL (14); MySQL (13)
Data Analyst,archive3;archive4;stackoverflow_india,3,808,Data Analysis (360); SQL (102); Python (94); IT Skills (79); Excel (76); Analytical (73); Tableau (61); Data Mining (58); Power BI (51); Business Analysis (50)
Data Architect,archive3;archive4,2,132,IT Skills (10); Big Data (9); Cloud (9); Data Modeling (7); Azure (6); Data Analysis (6); Data Management (5); Data Architect (5); Hadoop (5); Data quality (4)
Data Engineer,archive3;archive4;stackoverflow_india,3,1002,Python (296); SQL (183); IT Skills (152); Java (120); Big Data (110); AWS (109); Spark (106); Scala (85); Cloud (84); Azure (82)
Data Scientist,archive3;archive4;stackoverflow_india,3,869,Machine Learning (358); Python (334); Data Science (214); IT Skills (153); SQL (135); Computer science (132); Data Analysis (117); Data Mining (108); Analytical (96); R (84)
Database Administrator (DBA),naukri_datacsv;stackoverflow_india,2,571,Database Administration (35); Performance Tuning (33); SQL (33); Oracle DBA (21); Oracle (21); Python (19); MySQL (19); Linux (18); Java (14); Database design (14)
DevOps Engineer,archive3;stackoverflow_india,2,192,Python (46); Docker (43); Amazon Web Services (AWS) (40); Kubernetes (32); Terraform (32); Pip (29); Google Cloud (28); PostgreSQL (26); MySQL (26); JavaScript (24)
Embedded Developer,naukri_datacsv;stackoverflow_india,2,193,C (48); C++ (39); Python (39); Make (29); Pip (24); Docker (23); HTML/CSS (19); Bash/Shell (all shells) (19); JavaScript (19); SQLite (18)
Engineering Manager,archive3;archive4,2,68,Project management (4); Computer science (3); Product management (3); Agile (2); Machine Learning (2); Management (2); Node.js (2); Architect (2); Manager Technology (2); Java (2)
Frontend Developer,stackoverflow_india,1,172,JavaScript (274); HTML/CSS (232); React (210); npm (202); TypeScript (167); Node.js (152); Webpack (116); MongoDB (111); Next.js (111); MySQL (110)
