role_family,source,canonical_skill,mention_count,so_category
AI Developer,stackoverflow_india,Python,53,Language
AI Developer,stackoverflow_india,MySQL,41,Database
AI Developer,stackoverflow_india,Amazon Web Services (AWS),40,Platform
AI Developer,stackoverflow_india,JavaScript,38,Language
AI Developer,stackoverflow_india,Pip,37,ToolsTech
AI Developer,stackoverflow_india,NumPy,35,MiscTech
AI Developer,stackoverflow_india,Pandas,35,MiscTech
AI Developer,stackoverflow_india,SQL,35,Language
AI Developer,stackoverflow_india,Torch/PyTorch,35,MiscTech
AI Developer,stackoverflow_india,scikit-learn,34,MiscTech
AI Developer,stackoverflow_india,PostgreSQL,30,Database
AI Developer,stackoverflow_india,HTML/CSS,28,Language
AI Developer,stackoverflow_india,MongoDB,28,Database
AI Developer,stackoverflow_india,Docker,27,ToolsTech
AI Developer,stackoverflow_india,FastAPI,27,Webframe
AI Developer,stackoverflow_india,Opencv,27,MiscTech
AI Developer,stackoverflow_india,TensorFlow,27,MiscTech
AI Developer,stackoverflow_india,Node.js,26,Webframe
AI Developer,stackoverflow_india,C++,24,Language
AI Developer,stackoverflow_india,Flask,23,Webframe
AI Developer,stackoverflow_india,Google Cloud,23,Platform
AI Developer,stackoverflow_india,npm,23,ToolsTech
AI Developer,stackoverflow_india,C,22,Language
AI Developer,stackoverflow_india,Hugging Face Transformers,22,MiscTech
AI Developer,stackoverflow_india,React,22,Webframe
AI Developer,stackoverflow_india,Bash/Shell (all shells),21,Language
AI Developer,stackoverflow_india,Java,21,Language
AI Developer,stackoverflow_india,SQLite,21,Database
AI Developer,stackoverflow_india,Keras,19,MiscTech
AI Developer,stackoverflow_india,TypeScript,19,Language
AI Developer,stackoverflow_india,CUDA,18,MiscTech
AI Developer,stackoverflow_india,Django,18,Webframe
AI Developer,stackoverflow_india,Express,16,Webframe
AI Developer,stackoverflow_india,Microsoft Azure,15,Platform
AI Developer,stackoverflow_india,Firebase,14,Platform
AI Developer,stackoverflow_india,Kubernetes,14,ToolsTech
AI Developer,stackoverflow_india,Next.js,14,Webframe
AI Developer,stackoverflow_india,Redis,14,Database
AI Developer,stackoverflow_india,Cloud Firestore,13,Database
AI Developer,stackoverflow_india,Make,13,ToolsTech
AI Developer,stackoverflow_india,Chocolatey,12,ToolsTech
AI Developer,stackoverflow_india,Elasticsearch,12,Database
AI Developer,stackoverflow_india,Heroku,12,Platform
AI Developer,stackoverflow_india,PowerShell,12,Language
AI Developer,stackoverflow_india,Vercel,12,Platform
AI Developer,stackoverflow_india,jQuery,12,Webframe
AI Developer,stackoverflow_india,Microsoft SQL Server,11,Database
AI Developer,stackoverflow_india,Qt,11,MiscTech
AI Developer,stackoverflow_india,Firebase Realtime Database,10,Database
AI Developer,stackoverflow_india,Go,10,Language
AI Developer,stackoverflow_india,Oracle,10,Database
AI Developer,stackoverflow_india,PHP,10,Language
AI Developer,stackoverflow_india,Vite,10,ToolsTech
AI Developer,stackoverflow_india,ASP.NET,9,Webframe
AI Developer,stackoverflow_india,Dynamodb,9,Database
AI Developer,stackoverflow_india,Netlify,9,Platform
AI Developer,stackoverflow_india,Pacman,9,ToolsTech
AI Developer,stackoverflow_india,Swift,9,Language
AI Developer,stackoverflow_india,Visual Studio Solution,9,ToolsTech
AI Developer,stackoverflow_india,Angular,8,Webframe
AI Developer,stackoverflow_india,AngularJS,8,Webframe
AI Developer,stackoverflow_india,Apache Spark,8,MiscTech
AI Developer,stackoverflow_india,Assembly,8,Language
AI Developer,stackoverflow_india,C#,8,Language
AI Developer,stackoverflow_india,Digital Ocean,8,Platform
AI Developer,stackoverflow_india,Homebrew,8,ToolsTech
AI Developer,stackoverflow_india,Databricks,7,Platform
AI Developer,stackoverflow_india,Hadoop,7,MiscTech
AI Developer,stackoverflow_india,NestJS,7,Webframe
AI Developer,stackoverflow_india,R,7,Language
AI Developer,stackoverflow_india,Supabase,7,Platform
AI Developer,stackoverflow_india,Terraform,7,ToolsTech
AI Developer,stackoverflow_india,Vue.js,7,Webframe
AI Developer,stackoverflow_india,Yarn,7,ToolsTech
AI Developer,stackoverflow_india,.NET Framework (1.0 - 4.8),6,MiscTech
AI Developer,stackoverflow_india,APT,6,ToolsTech
AI Developer,stackoverflow_india,Apache Kafka,6,MiscTech
AI Developer,stackoverflow_india,BigQuery,6,Database
AI Developer,stackoverflow_india,Databricks SQL,6,Database
AI Developer,stackoverflow_india,Kotlin,6,Language
AI Developer,stackoverflow_india,MATLAB,6,Language
AI Developer,stackoverflow_india,MariaDB,6,Database
AI Developer,stackoverflow_india,Maven (build tool),6,ToolsTech
AI Developer,stackoverflow_india,PythonAnywhere,6,Platform
AI Developer,stackoverflow_india,RabbitMQ,6,MiscTech
AI Developer,stackoverflow_india,Ruff,6,MiscTech
AI Developer,stackoverflow_india,Svelte,6,Webframe
AI Developer,stackoverflow_india,Webpack,6,ToolsTech
AI Developer,stackoverflow_india,mlflow,6,MiscTech
AI Developer,stackoverflow_india,.NET (5+),5,MiscTech
AI Developer,stackoverflow_india,Bun,5,ToolsTech
AI Developer,stackoverflow_india,Cloudflare,5,Platform
AI Developer,stackoverflow_india,Cosmos DB,5,Database
AI Developer,stackoverflow_india,DirectX,5,MiscTech
AI Developer,stackoverflow_india,Flutter,5,MiscTech
AI Developer,stackoverflow_india,Google Test,5,ToolsTech
AI Developer,stackoverflow_india,Gradle,5,ToolsTech
AI Developer,stackoverflow_india,JAX,5,MiscTech
AI Developer,stackoverflow_india,OpenCL,5,MiscTech
AI Developer,stackoverflow_india,Podman,5,ToolsTech
AI Developer,stackoverflow_india,Rust,5,Language
AI Developer,stackoverflow_india,Snowflake,5,Database
AI Developer,stackoverflow_india,Spring Boot,5,Webframe
AI Developer,stackoverflow_india,Spring Framework,5,MiscTech
AI Developer,stackoverflow_india,Unreal Engine,5,ToolsTech
AI Developer,stackoverflow_india,VMware,5,Platform
AI Developer,stackoverflow_india,WordPress,5,Webframe
AI Developer,stackoverflow_india,Ansible,4,ToolsTech
AI Developer,stackoverflow_india,Astro,4,Webframe
AI Developer,stackoverflow_india,Dagger,4,ToolsTech
AI Developer,stackoverflow_india,Dart,4,Language
AI Developer,stackoverflow_india,DuckDB,4,Database
AI Developer,stackoverflow_india,Erlang,4,Language
AI Developer,stackoverflow_india,GDScript,4,Language
AI Developer,stackoverflow_india,Htmx,4,Webframe
AI Developer,stackoverflow_india,IBM Cloud Or Watson,4,Platform
AI Developer,stackoverflow_india,Ionic,4,MiscTech
AI Developer,stackoverflow_india,Laravel,4,Webframe
AI Developer,stackoverflow_india,Lua,4,Language
AI Developer,stackoverflow_india,MSBuild,4,ToolsTech
AI Developer,stackoverflow_india,MicroPython,4,Language
AI Developer,stackoverflow_india,Ninja,4,ToolsTech
AI Developer,stackoverflow_india,Nix,4,ToolsTech
AI Developer,stackoverflow_india,NuGet,4,ToolsTech
AI Developer,stackoverflow_india,OpenGL,4,MiscTech
AI Developer,stackoverflow_india,Oracle Cloud Infrastructure (OCI),4,Platform
AI Developer,stackoverflow_india,React Native,4,MiscTech
AI Developer,stackoverflow_india,Render,4,Platform
AI Developer,stackoverflow_india,Ruby,4,Language
AI Developer,stackoverflow_india,Ruby on Rails,4,Webframe
AI Developer,stackoverflow_india,Solid.js,4,Webframe
AI Developer,stackoverflow_india,Unity 3D,4,ToolsTech
AI Developer,stackoverflow_india,Visual Basic (.Net),4,Language
AI Developer,stackoverflow_india,pnpm,4,ToolsTech
AI Developer,stackoverflow_india,Ada,3,Language
AI Developer,stackoverflow_india,Cassandra,3,Database
AI Developer,stackoverflow_india,Cordova,3,MiscTech
AI Developer,stackoverflow_india,Datomic,3,Database
